Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-01-03 00:00:00-05:00,453.12548885801067,454.6000906272862,450.79471166049126,454.4668884277344,72668200,0.0,0.0,0.0
2022-01-04 00:00:00-05:00,455.9034252304674,456.62645651980097,452.44051645811953,454.3146667480469,71178700,0.0,0.0,0.0
2022-01-05 00:00:00-05:00,453.94362533753196,454.72373493326995,445.49568003913816,445.5908203125,104538900,0.0,0.0,0.0
2022-01-06 00:00:00-05:00,445.12465507471705,447.9120878865896,442.7843263697379,445.1722106933594,86858900,0.0,0.0,0.0
2022-01-07 00:00:00-05:00,445.18174761931215,446.37092845061414,442.0422928050338,443.4122314453125,85111600,0.0,0.0,0.0
2022-01-10 00:00:00-05:00,440.18728839049925,443.0793559273905,434.3840788053856,442.8605651855469,119362000,0.0,0.0,0.0
2022-01-11 00:00:00-05:00,442.5941579696336,446.9893663621023,439.56885939827777,446.89422607421875,74303100,0.0,0.0,0.0
2022-01-12 00:00:00-05:00,448.6446293867217,450.17630940225746,446.12357181807585,448.10235595703125,67605400,0.0,0.0,0.0
2022-01-13 00:00:00-05:00,449.2154656602354,449.87189583965556,440.8911993602203,441.92816162109375,91173100,0.0,0.0,0.0
2022-01-14 00:00:00-05:00,438.750701838542,442.46094067761123,437.5234589419788,442.10894775390625,95890900,0.0,0.0,0.0
2022-01-18 00:00:00-05:00,437.37116689414125,437.58046387213096,433.15671718975256,434.279296875,109709100,0.0,0.0,0.0
2022-01-19 00:00:00-05:00,435.83954218993154,437.24751373310744,429.4940604101733,429.76995849609375,109357600,0.0,0.0,0.0
2022-01-20 00:00:00-05:00,431.67268852315004,436.41988962546833,422.8727494182704,425.0132751464844,122379700,0.0,0.0,0.0
2022-01-21 00:00:00-05:00,423.8811322751707,426.2594939694307,416.64141321355646,416.6699523925781,202271200,0.0,0.0,0.0
2022-01-24 00:00:00-05:00,411.0094532738382,418.9531873967836,400.2878088602572,418.439453125,251783900,0.0,0.0,0.0
2022-01-25 00:00:00-05:00,411.9893499471079,418.3253093866,406.3668990611703,413.33074951171875,167997300,0.0,0.0,0.0
2022-01-26 00:00:00-05:00,419.2766597111746,422.43513125151657,407.9936958702741,412.2937927246094,186391100,0.0,0.0,0.0
2022-01-27 00:00:00-05:00,416.93636283327237,420.10432810226087,408.5550178398871,410.2579040527344,149878300,0.0,0.0,0.0
2022-01-28 00:00:00-05:00,411.6278536612433,420.49439400495163,407.00433195246904,420.44683837890625,164457400,0.0,0.0,0.0
2022-01-31 00:00:00-05:00,419.7713592754621,428.37152417154954,418.4109432149237,428.01953125,152251400,0.0,0.0,0.0
2022-02-01 00:00:00-05:00,428.75204990539925,431.5585285633514,425.19402978985346,430.91162109375,123155400,0.0,0.0,0.0
2022-02-02 00:00:00-05:00,433.3375405574838,435.83005919712076,431.0067342696007,435.0975341796875,117361000,0.0,0.0,0.0
2022-02-03 00:00:00-05:00,429.00896127200775,430.9306673704176,424.0238946371562,424.87060546875,118024400,0.0,0.0,0.0
2022-02-04 00:00:00-05:00,424.63277255377426,430.7499128698522,422.2353649906249,426.8684387207031,118454400,0.0,0.0,0.0
2022-02-07 00:00:00-05:00,427.63899986868773,429.04697155726353,424.1570745020062,425.49847412109375,84472900,0.0,0.0,0.0
2022-02-08 00:00:00-05:00,424.9942365130415,429.93171792427756,423.55769669774656,428.9993896484375,81012000,0.0,0.0,0.0
2022-02-09 00:00:00-05:00,433.0711629829756,435.6017435295236,432.87138871246174,435.2782897949219,92589900,0.0,0.0,0.0
2022-02-10 00:00:00-05:00,429.37995799486293,435.44001971781694,425.44140562496176,427.458251953125,140103700,0.0,0.0,0.0
2022-02-11 00:00:00-05:00,427.5438439278336,429.6367849403057,417.5832633191427,419.029296875,153214600,0.0,0.0,0.0
2022-02-14 00:00:00-05:00,418.5155962964135,420.11384851276483,414.15842107160734,417.65936279296875,123006300,0.0,0.0,0.0
2022-02-15 00:00:00-05:00,422.1401847002441,424.56610201765625,421.61692770735635,424.3948669433594,88482700,0.0,0.0,0.0
2022-02-16 00:00:00-05:00,422.33050200670874,426.2595607867543,420.4373350917942,424.87060546875,84863600,0.0,0.0,0.0
2022-02-17 00:00:00-05:00,421.6549950314,424.8420055522309,415.185862746844,415.7947082519531,102259100,0.0,0.0,0.0
2022-02-18 00:00:00-05:00,416.05156231786117,417.31686701941175,410.80967279535963,413.1024169921875,132642900,0.0,0.0,0.0
2022-02-22 00:00:00-05:00,410.8762549746331,414.3105952266778,405.13961886160763,408.66912841796875,124391800,0.0,0.0,0.0
2022-02-23 00:00:00-05:00,411.6088158406434,412.1796284872362,400.84910922840714,401.419921875,132578000,0.0,0.0,0.0
2022-02-24 00:00:00-05:00,391.0217016763123,407.89857698071773,390.6602150652989,407.4609375,213942900,0.0,0.0,0.0
2022-02-25 00:00:00-05:00,408.7071815835602,416.536758896274,407.0423283628281,416.4511413574219,121804500,0.0,0.0,0.0
2022-02-28 00:00:00-05:00,411.0094289107116,416.8792381889326,409.74415329774416,415.3856201171875,145615000,0.0,0.0,0.0
2022-03-01 00:00:00-05:00,413.8730059555748,415.89937480955257,406.3288204281093,409.0592041015625,137785900,0.0,0.0,0.0
2022-03-02 00:00:00-05:00,411.3329694515139,418.3253599276995,410.57190518220074,416.58441162109375,117726500,0.0,0.0,0.0
2022-03-03 00:00:00-05:00,419.0388167247073,419.64766225828436,412.69333456576396,414.5104064941406,105501700,0.0,0.0,0.0
2022-03-04 00:00:00-05:00,410.74309211192974,412.28426594780655,407.0613926078379,411.1426696777344,113978200,0.0,0.0,0.0
2022-03-07 00:00:00-05:00,410.55284710978884,411.26635572765974,398.95595138470884,399.0225524902344,137896600,0.0,0.0,0.0
2022-03-08 00:00:00-05:00,399.2032498255417,406.4239524600854,394.9221987671591,395.9972229003906,164772700,0.0,0.0,0.0
2022-03-09 00:00:00-05:00,404.4547460652673,408.61211823568055,402.247619140359,406.6142883300781,116990800,0.0,0.0,0.0
2022-03-10 00:00:00-05:00,401.96216640943857,405.6819278019332,399.9833821378538,404.7781677246094,93972700,0.0,0.0,0.0
2022-03-11 00:00:00-05:00,407.289753659499,407.9081220071555,399.1177048594008,399.6314392089844,95636300,0.0,0.0,0.0
2022-03-14 00:00:00-04:00,400.4114685461944,403.8933644587536,395.55960496561266,396.7107238769531,95729200,0.0,0.0,0.0
2022-03-15 00:00:00-04:00,399.34594120545717,406.0719549823202,398.06164912865256,405.4345703125,106219100,0.0,0.0,0.0
2022-03-16 00:00:00-04:00,408.9736478442885,414.4819135729484,404.1312770522876,414.4248352050781,144954800,0.0,0.0,0.0
2022-03-17 00:00:00-04:00,412.49358024225324,419.6096496582031,412.11304813627885,419.6096496582031,102676900,0.0,0.0,0.0
2022-03-18 00:00:00-04:00,417.9834786840698,424.52996393742103,417.23912570886466,424.20550537109375,106345500,1.366,0.0,0.0
2022-03-21 00:00:00-04:00,424.0337189354583,426.0568305641095,420.54097694294705,424.0814514160156,88349800,0.0,0.0,0.0
2022-03-22 00:00:00-04:00,425.48430327782444,429.9886017052283,425.48430327782444,429.0438537597656,74650400,0.0,0.0,0.0
2022-03-23 00:00:00-04:00,426.4862907603394,427.9940722088079,423.43251857940515,423.5184020996094,79426100,0.0,0.0,0.0
2022-03-24 00:00:00-04:00,425.560625266719,429.91223176451206,424.4345580420555,429.9026794433594,64736900,0.0,0.0,0.0
2022-03-25 00:00:00-04:00,430.5421189981454,432.2789525020039,427.9368687423576,432.002197265625,77101300,0.0,0.0,0.0
2022-03-28 00:00:00-04:00,431.4009808340559,435.0750427246094,429.49238028030686,435.0750427246094,68529800,0.0,0.0,0.0
2022-03-29 00:00:00-04:00,438.99719715099053,440.9535301667968,436.28698789480967,440.457275390625,86581500,0.0,0.0,0.0
2022-03-30 00:00:00-04:00,439.30264739227977,440.123360889083,435.6095094640086,437.73760986328125,79666900,0.0,0.0,0.0
2022-03-31 00:00:00-04:00,436.9645287864238,437.79476529359073,430.5420780115882,431.0001525878906,121699900,0.0,0.0,0.0
2022-04-01 00:00:00-04:00,432.5938721829011,432.7370114051407,428.6144561899683,432.2217102050781,89048800,0.0,0.0,0.0
2022-04-04 00:00:00-04:00,432.42199046284776,436.02924352152223,431.5917540710545,435.92425537109375,59601000,0.0,0.0,0.0
2022-04-05 00:00:00-04:00,434.41655006209146,436.9072596730443,429.26333466607076,430.41802978515625,74214500,0.0,0.0,0.0
2022-04-06 00:00:00-04:00,426.4672512967876,428.41400283186397,423.20353163844754,426.1141357421875,106898000,0.0,0.0,0.0
2022-04-07 00:00:00-04:00,425.22662384866436,430.0935607072761,423.2607677608337,428.26129150390625,78097200,0.0,0.0,0.0
2022-04-08 00:00:00-04:00,427.4978336150497,430.0362754746858,425.5606055015023,427.1161193847656,79272700,0.0,0.0,0.0
2022-04-11 00:00:00-04:00,423.8142565075086,424.6635976818795,419.30998742943643,419.8157653808594,89770500,0.0,0.0,0.0
2022-04-12 00:00:00-04:00,422.8313001658836,425.3792943956459,416.69515715434574,418.2602233886719,84363600,0.0,0.0,0.0
2022-04-13 00:00:00-04:00,418.0121079665926,423.81424026475486,417.8307886020003,423.0508117675781,74070400,0.0,0.0,0.0
2022-04-14 00:00:00-04:00,423.27986116881056,424.405957589073,417.6781234016021,417.7831115722656,97869500,0.0,0.0,0.0
2022-04-18 00:00:00-04:00,416.84784232588953,419.6534870707048,415.7026705073379,417.954833984375,66002500,0.0,0.0,0.0
2022-04-19 00:00:00-04:00,417.84988444636554,425.42703059727864,417.6781173945853,424.7017822265625,77821000,0.0,0.0,0.0
