Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,144.19023428076133,144.98149407284546,142.85623946691334,144.1271209716797,28646000,0.0,0.0
2022-01-04 00:00:00-05:00,144.52920029280338,145.61171257737956,142.8597236345001,143.5386505126953,28400000,0.0,0.0
2022-01-05 00:00:00-05:00,143.5590176679192,143.63804201848822,136.8671567890613,136.95362854003906,54618000,0.0,0.0
2022-01-06 00:00:00-05:00,136.18177233612653,139.1057340622468,135.74439301975394,136.92630004882812,37348000,0.0,0.0
2022-01-07 00:00:00-05:00,137.32193148421084,137.6231341143324,134.95711619252725,136.20016479492188,29760000,0.0,0.0
2022-01-10 00:00:00-05:00,134.27272325689333,137.99191881727012,132.3706328222007,137.84280395507812,44408000,0.0,0.0
2022-01-11 00:00:00-05:00,137.18425777729487,139.38008818359495,135.87759542546866,138.90293884277344,28730000,0.0,0.0
2022-01-12 00:00:00-05:00,140.30851123755903,141.7578269611901,139.85573658432193,140.58734130859375,26108000,0.0,0.0
2022-01-13 00:00:00-05:00,140.69618631751152,141.9983893426326,137.5838554108027,137.76080322265625,31436000,0.0,0.0
2022-01-14 00:00:00-05:00,136.26178386352225,139.9029560886818,136.18177360151284,138.6489715576172,29662000,0.0,0.0
2022-01-18 00:00:00-05:00,135.36317206696742,136.31396693483958,134.6310668442254,135.18722534179688,34872000,0.0,0.0
2022-01-19 00:00:00-05:00,135.70961451103514,137.13705841659865,134.21060881239492,134.31100463867188,28648000,0.0,0.0
2022-01-20 00:00:00-05:00,135.43775010187215,136.80555416095493,132.17182934295488,132.51278686523438,29908000,0.0,0.0
2022-01-21 00:00:00-05:00,131.80304038371057,134.0614836836018,129.31098227824953,129.57440185546875,55652000,0.0,0.0
2022-01-24 00:00:00-05:00,125.22696709031449,130.42082382606242,123.75778148192607,130.02420043945312,76622000,0.0,0.0
2022-01-25 00:00:00-05:00,127.97250798721907,128.6275758896515,125.746357067885,126.17826080322266,46960000,0.0,0.0
2022-01-26 00:00:00-05:00,130.3373127663746,132.20709555584364,126.38401742271589,128.46255493164062,49130000,0.0,0.0
2022-01-27 00:00:00-05:00,130.52122172280093,131.86167804427959,128.163853903532,128.23593139648438,31950000,0.0,0.0
2022-01-28 00:00:00-05:00,128.88600900432954,132.56147533916607,127.71901204024903,132.55599975585938,34362000,0.0,0.0
2022-01-31 00:00:00-05:00,133.36219746273952,134.6653865636506,131.42133787378867,134.49688720703125,39986000,0.0,0.0
2022-02-01 00:00:00-05:00,136.77422087518204,136.97153908448766,133.56745490599226,136.82342529296875,68644000,0.0,0.0
2022-02-02 00:00:00-05:00,150.34831601220208,150.64304198235166,144.65496744664003,147.11769104003906,123200000,0.0,0.0
2022-02-03 00:00:00-05:00,144.83685466191287,148.7826874373517,141.81496969833225,142.2369384765625,71518000,0.0,0.0
2022-02-04 00:00:00-05:00,142.58935253590573,144.01132078033405,139.67731252149167,142.43875122070312,57998000,0.0,0.0
2022-02-07 00:00:00-05:00,143.39003526596414,143.39003526596414,138.07192390474245,138.3711395263672,54974000,0.0,0.0
2022-02-08 00:00:00-05:00,138.19768576489463,139.16537766922627,136.19718649446398,138.56796264648438,54284000,0.0,0.0
2022-02-09 00:00:00-05:00,140.123131603112,141.67483014140282,139.35125630336145,140.7478790283203,40144000,0.0,0.0
2022-02-10 00:00:00-05:00,138.87066160001436,140.64103479433624,137.13456768686495,137.79360961914062,39330000,0.0,0.0
2022-02-11 00:00:00-05:00,137.77374555304485,138.32691610031569,132.60473309175262,133.4819793701172,39958000,0.0,0.0
2022-02-14 00:00:00-05:00,132.46206223355594,135.48742052806296,132.46206223355594,134.71803283691406,34302000,0.0,0.0
2022-02-15 00:00:00-05:00,136.75035324045336,137.28515547751059,135.01178714340094,135.79409790039062,26680000,0.0,0.0
2022-02-16 00:00:00-05:00,135.83187026783972,137.26278747790528,134.11963545323007,136.9168701171875,25022000,0.0,0.0
2022-02-17 00:00:00-05:00,135.43075288338343,136.29606186664606,131.68869992433548,131.74884033203125,38950000,0.0,0.0
2022-02-18 00:00:00-05:00,132.6713242741991,133.27074146885232,129.42032894496498,129.62559509277344,45620000,0.0,0.0
2022-02-22 00:00:00-05:00,129.0639409096522,131.39247438984478,127.45906414945327,129.0395965576172,44990000,0.0,0.0
2022-02-23 00:00:00-05:00,130.86366373256033,131.26376055099263,126.76722927425091,126.8273696899414,32786000,0.0,0.0
2022-02-24 00:00:00-05:00,124.20858028871129,132.20711169927176,124.20858028871129,131.8999481201172,54456000,0.0,0.0
2022-02-25 00:00:00-05:00,132.75582212087886,134.46506889287124,130.9660493781838,133.6579132080078,36406000,0.0,0.0
2022-02-28 00:00:00-05:00,132.25680755246233,134.9421945520576,131.8020307532934,134.25184631347656,38864000,0.0,0.0
2022-03-01 00:00:00-05:00,134.0743987504672,135.44318849556387,132.42430658177463,133.26226806640625,26496000,0.0,0.0
2022-03-02 00:00:00-05:00,133.8254077789069,134.4561161649119,132.27818373169396,133.7692413330078,23520000,0.0,0.0
2022-03-03 00:00:00-05:00,135.19914893630838,135.6260927709551,132.23244442777408,133.1012420654297,24604000,0.0,0.0
2022-03-04 00:00:00-05:00,132.13502627711011,133.0535136251189,129.56045565596136,131.12010192871094,30430000,0.0,0.0
2022-03-07 00:00:00-05:00,130.70412780420082,130.94964934342582,125.54207801591977,125.62508392333984,45112000,0.0,0.0
2022-03-08 00:00:00-05:00,125.49735033485614,130.46754242732567,124.92528073964256,126.34675598144531,40428000,0.0,0.0
2022-03-09 00:00:00-05:00,130.46754173493875,132.93822833664126,129.1260843481061,132.62460327148438,37026000,0.0,0.0
2022-03-10 00:00:00-05:00,130.4834530154013,132.47749079965467,130.13206007166875,131.6400146484375,27102000,0.0,0.0
2022-03-11 00:00:00-05:00,132.69269500928414,132.99787160510658,128.85869409083313,129.0962677001953,31526000,0.0,0.0
2022-03-14 00:00:00-04:00,129.47350129922808,129.63155000686874,124.5281617874985,125.20012664794922,38812000,0.0,0.0
2022-03-15 00:00:00-04:00,126.21901155597463,129.08036041319235,124.97099561794094,128.42776489257812,30920000,0.0,0.0
2022-03-16 00:00:00-04:00,129.95363304530028,132.53812396756078,127.9670425512533,132.48594665527344,35576000,0.0,0.0
2022-03-17 00:00:00-04:00,132.35523344907776,133.28118358212942,131.39697585155773,133.04112243652344,28264000,0.0,0.0
2022-03-18 00:00:00-04:00,132.62907833291945,135.43177341231217,131.4700291742391,135.31398010253906,44566000,0.0,0.0
2022-03-21 00:00:00-04:00,135.35174221676303,136.23296233262303,133.29308959145584,135.2901153564453,26832000,0.0,0.0
2022-03-22 00:00:00-04:00,135.29013871910533,140.20914004487872,135.29013871910533,139.0341796875,35496000,0.0,0.0
2022-03-23 00:00:00-04:00,137.8756282677668,138.7563479806744,137.01330712562918,137.451171875,25154000,0.0,0.0
2022-03-24 00:00:00-04:00,138.37014375246187,140.77472897804753,136.92929162847878,140.72801208496094,26396000,0.0,0.0
2022-03-25 00:00:00-04:00,141.06994721627316,141.18824105648594,138.90443733459907,140.82839965820312,24126000,0.0,0.0
2022-03-28 00:00:00-04:00,140.0605139005608,141.1559492617767,138.9780015247336,140.61221313476562,35050000,0.0,0.0
2022-03-29 00:00:00-04:00,141.7970964844151,142.93626058492885,141.19171837433169,141.6559295654297,34318000,0.0,0.0
2022-03-30 00:00:00-04:00,141.61072161056262,141.86966668046006,140.75584795284888,141.0923309326172,19884000,0.0,0.0
2022-03-31 00:00:00-04:00,141.20612430564725,141.26080430245935,138.19569091666554,138.23843383789062,37524000,0.0,0.0
2022-04-01 00:00:00-04:00,138.6683525128137,139.6335568528457,137.48295690375926,139.31497192382812,25942000,0.0,0.0
2022-04-04 00:00:00-04:00,139.5217421932521,142.85525028889145,139.47402422501693,142.11915588378906,25942000,0.0,0.0
2022-04-05 00:00:00-04:00,142.0172882097169,142.1380544214497,139.54561551027928,139.75286865234375,21418000,0.0,0.0
2022-04-06 00:00:00-04:00,137.92283149938373,138.52969608362878,134.7091035718488,135.7339630126953,32468000,0.0,0.0
2022-04-07 00:00:00-04:00,135.19916586671314,136.34679370749257,133.427291093324,135.07839965820312,26234000,0.0,0.0
2022-04-08 00:00:00-04:00,134.77520697165542,134.86119335955522,132.17281809687512,132.49290466308594,25142000,0.0,0.0
2022-04-11 00:00:00-04:00,131.03764238363178,131.30503596272297,127.90145197156235,128.05552673339844,36884000,0.0,0.0
2022-04-12 00:00:00-04:00,130.8154592073854,130.8154592073854,126.03313586492538,126.95311737060547,32710000,0.0,0.0
2022-04-13 00:00:00-04:00,127.23690781797103,129.55699294493664,126.97944921777155,129.11961364746094,27928000,0.0,0.0
2022-04-14 00:00:00-04:00,129.70165398779974,129.70165398779974,125.84626619710755,125.97450256347656,31598000,0.0,0.0
2022-04-18 00:00:00-04:00,126.24288641630555,127.4481520009854,125.42976215444064,126.91535186767578,20808000,0.0,0.0
2022-04-19 00:00:00-04:00,126.93025878807966,129.55600614086566,126.24238284464272,129.23394775390625,26490000,0.0,0.0
2022-04-20 00:00:00-04:00,130.11167490638292,130.61565614591467,126.73989829141833,127.27667236328125,31696000,0.0,0.0
2022-04-21 00:00:00-04:00,128.4794624420053,129.32289952975387,123.78411899307085,124.07040405273438,36446000,0.0,0.0
2022-04-22 00:00:00-04:00,124.25480030947274,124.65440417196703,118.21602004799682,118.92227935791016,56884000,0.0,0.0
2022-04-25 00:00:00-04:00,118.39096451696345,122.5425642855984,117.80448550569228,122.34027862548828,46128000,0.0,0.0
2022-04-26 00:00:00-04:00,121.56543900497064,121.77965417231077,117.80449381447244,117.94266510009766,73054000,0.0,0.0
2022-04-27 00:00:00-04:00,113.78708083866559,116.5430515019605,112.06441810822078,113.61312866210938,91820000,0.0,0.0
2022-04-28 00:00:00-04:00,115.72098381439348,118.93619817833041,113.43469241008683,117.81591796875,48884000,0.0,0.0
2022-04-29 00:00:00-04:00,116.03857291186468,117.21700652937484,113.13598259851811,113.4292221069336,42676000,0.0,0.0
2022-05-02 00:00:00-04:00,112.72891478535892,116.04949968137838,111.92871363213679,115.88796997070312,35534000,0.0,0.0
2022-05-03 00:00:00-04:00,115.7363890953695,117.73590251845792,115.34275375517872,116.63450622558594,24968000,0.0,0.0
2022-05-04 00:00:00-04:00,116.33380387873802,122.12208739664607,114.42971894184117,121.5321273803711,49916000,0.0,0.0
2022-05-05 00:00:00-04:00,119.48739626697366,120.31741743526412,114.31988597771957,115.81094360351562,45840000,0.0,0.0
2022-05-06 00:00:00-04:00,114.4978114880864,116.87058205109199,113.33578193586037,115.05645751953125,39710000,0.0,0.0
