Ticker,Start Date,End Date,Total Days,Mean Close,Max Close,Min Close,Mean Volume
AAPL,2022-01-03,2025-07-11,883,182.367030177219,258.39666748046875,123.42125701904297,66538998.52774632
TSLA,2022-01-03,2025-07-11,883,248.7403887600753,479.8599853515625,108.0999984741211,106749595.58323896
SPY,2022-01-03,2025-07-11,883,466.82758225023,625.8200073242188,343.1389465332031,76716552.77463193
MSFT,2022-01-03,2025-07-11,883,343.7358267795999,503.510009765625,209.3932647705078,25932865.005662516
GOOGL,2022-01-03,2025-07-11,883,137.7756604100678,205.89334106445312,82.93262481689453,32377392.638731595
